clave,descripcion
1,1° Orden del parto
2,2° Orden del parto
3,3° Orden del parto
4,4° Orden del parto
5,5° Orden del parto
6,6° Orden del parto
7,7° Orden del parto
8,8° Orden del parto
9,9° Orden del parto
10,10° Orden del parto
99,No especificado
